rank,C,kernel,parameters,cv_score_1,cv_score_2,cv_score_3,cv_score_4,cv_score_5,RMSE
1,0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.699931090904318,0.6839896226011817,0.7391397193673139,0.7239568034365387,0.7273519182180208,0.7148738309054747
2,1,linear,"{'C': 1, 'kernel': 'linear'}",0.6999316608499224,0.6855636243467015,0.7387302115944778,0.7233800833847355,0.7305529821805177,0.7156317124712709
3,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.698636004916661,0.6904741994213901,0.7417478821034903,0.7209543123031258,0.7329470993158618,0.7169518996121058
4,0.001,linear,"{'C': 0.001, 'kernel': 'linear'}",0.7159320800195713,0.7048376983272685,0.7679222110814388,0.7284275384311103,0.7571654864343209,0.7348570028587419
5,10,rbf,"{'C': 10, 'kernel': 'rbf'}",0.734511607940697,0.7191525805946792,0.7829497344994174,0.740229286855144,0.767521667305394,0.7488729754390663
6,1,rbf,"{'C': 1, 'kernel': 'rbf'}",0.7715589880858545,0.7655862183276719,0.8239172680971776,0.7767612678404048,0.803605467588191,0.7882858419878599
7,10,linear,"{'C': 10, 'kernel': 'linear'}",0.8548073282076235,0.8249038558634442,0.9457429086816832,0.873174504709612,0.8596791960781844,0.8716615587081094
8,0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.9102720160335751,0.9042960205755851,0.9350824493980938,0.8718169754367857,0.9092077569501263,0.9061350436788331
9,0.01,rbf,"{'C': 0.01, 'kernel': 'rbf'}",1.0267064423440773,1.0103182190677478,1.0397845788924291,0.9496919865694419,1.0061316767262687,1.006526580719993
10,0.001,rbf,"{'C': 0.001, 'kernel': 'rbf'}",1.052087496923984,1.0345921724738725,1.064892809095311,0.9701886343421204,1.0292776801365986,1.0302077585943774
